name,type,attribute,time,lat,lng
細田第２団地公園,名所,若松町細田４４１８－６外,"すべり台,鉄棒,ｽﾌﾟﾘﾝｸﾞ遊具",35.133185,138.926378
青木土地区画整理組合団地公園,名所,青木３９６－１０外,"すべり台,ブランコ,鉄棒",35.108927,138.923613
川原ケ谷坂の上公園,名所,川原ケ谷１４５－４２,"すべり台,ブランコ,鉄棒",35.120705,138.926424
川原ケ谷今井坂公園,名所,川原ケ谷２４３－１２,鉄棒,35.122785,138.931027
晴山台団地公園,名所,徳倉５－７４２－７５外,"すべり台,ブランコ,鉄棒",35.146367,138.915593
徳倉谷津公園,名所,旭ヶ丘３７２－１０,,35.127747,138.929189
谷田和田公園,名所,谷田和田２４６－１１外,"すべり台,ｽﾌﾟﾘﾝｸﾞ遊具",35.115389,138.931998
旭化成団地公園,名所,徳倉７４０－４３,ブランコ,35.146225,138.917154
協和ハウジング団地公園,名所,徳倉４６４－２８外,"ブランコ,鉄棒",35.144817,138.921663
平成台公園 Ａ,名所,平成台５４,うんてい,35.15214,138.94082
平成台公園 Ｂ,名所,平成台３４,,35.15414,138.946913
徳倉５丁目公園,名所,徳倉５－７５８－１２ ７６８－４,鉄棒,35.148846,138.914925
ヴァンベール９２番館公園,名所,徳倉９２５－９,"すべり台,ブランコ,鉄棒",35.1454,138.908831
徳倉アパート村公園,名所,徳倉３－４７１－９,"すべり台,ブランコ,鉄棒",35.144308,138.91871
東レ鎧坂公園,名所,文教町２－３６１０－２７,"すべり台,ブランコ,鉄棒",35.129952,138.917018
東レシャルマンコーポ公園,名所,加茂川町４３１６－１５,,35.127056,138.923331
言成地蔵公園,名所,東本町１－１３３４－４,,35.116515,138.9214
メゾンつつじケ丘公園,名所,加茂川町２９９－６,"すべり台,鉄棒",35.130079,138.923181
細田団地公園,名所,若松町４４０５－４,,35.132463,138.925501
栄町公園,名所,栄町２１４６－１,"ブランコ,ｽﾌﾟﾘﾝｸﾞ遊具,トイレ",35.118147,138.906101
ベルメゾン二日町,名所,南二日町７３５－１５,"すべり台,鉄棒,ｽﾌﾟﾘﾝｸﾞ遊具",35.111589,138.92441
文教町１丁目JRアパート,名所,文教町１－５４,,35.134146,138.912318
日隅神社,名所,大社町８－１２,"すべり台,ブランコ,鉄棒",35.120007,138.921891
東町八幡神社,名所,東町９－２０,すべり台,35.118965,138.925855
八幡神社,名所,壱町田７５－１,,35.133872,138.919735
駒形神社,名所,沢地３５０,鉄棒,35.146769,138.931024
